CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C(O)=O)Oc1cccc(Br)c1	 52000
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C(O)=O)OCc1cccc2ccccc12	 4000
CC(C)[C@H](NC(C)=O)C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]1(CC1C=C)C(O)=O)Oc1cc(nc2ccccc12)-c1ccccc1	 3000
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C(O)=O)OCc1cccc2ccccc12	 390
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C(O)=O)Oc1ccnc2ccccc12	 22000
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C(O)=O)Oc1cc(nc2ccccc12)-c1ccccc1	 370
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]1(C[C@H]1C=C)C(O)=O)Oc1cc(nc2ccccc12)-c1ccccc1	 13
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C(O)=O)Oc1ccnc2cc(ccc12)C(F)(F)F	 8000
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]1(C[C@H]1C=C)C(O)=O)Oc1ccnc2ccccc12	 110
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]1(C[C@H]1C=C)C(O)=O)Oc1cccc(c1)-c1ccccc1	 120
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C(O)=O)Oc1cccc(c1)-c1ccccc1	 6200
CC(C)[C@H](NC(=O)[C@@H](NC(C)=O)C1CCCCC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C(O)=O)Oc1cccc(c1)-c1cccc(c1)[N+]([O-])=O	 4000
