CC1NC(CO)(C#N)C(O)C(O)C1O	 75
CC1NC(CO)(CNC(=O)CNC(=O)OCc2ccccc2)C(O)C(O)C1O	 200
CC1NC(CO)(CNC(=O)CN)C(O)C(O)C1O	 50
CC1NC(CO)(CNC(=O)[C@@H](N)CO)C(O)C(O)C1O	 56
CC1NC(CN)(CO)C(O)C(O)C1O	 160
CC1NC(CO)(C#N)C(O)C(O)C1O	 110
CC1NC(CN)(CO)C(O)C(O)C1O	 206
CC1NC(CO)(CNC(=O)[C@@H](N)CO)C(O)C(O)C1O	 20
CC1C(O)C(O)C(O)C(CO)N1CC=O	 11
CC1C(O)C(O)C(O)C(CO)N1CC=O	 4
CC1NC(CO)(CNC(=O)CN)C(O)C(O)C1O	 116
CC1C(O)C(O)C(O)C(CO)N1CC=O	 11
CC1NC(CO)(CNC(=O)CNC(=O)OCc2ccccc2)C(O)C(O)C1O	 190
CC1NC(CO)(CNC(=O)[C@@H](N)CO)C(O)C(O)C1O	 40
CCNC(=O)c1cc(oc1C)C1NCC(O)C1O	 40000
CCOC(=O)c1cc(oc1C)C1NCC(O)C1O	 200000
CCN(CC)C(=O)c1cc(oc1C)C1NCC(O)C1O	 110000
CC(C)NC(=O)c1cc(oc1C)C1NCC(O)C1O	 80000
CC(C)NC(=O)c1cc(oc1C)C1NCC(O)C1O	 40000
CC(C)OC(=O)c1cc(oc1C)C1NCC(O)C1O	 50000
COC(=O)c1cc(oc1C)C1NCC(O)C1O	 150000
CC(C)OC(=O)c1cc(oc1C)C1NCC(O)C1O	 160000
CCNC(=O)c1cc(oc1C)C1NCC(O)C1O	 80000
CCOC(=O)c1cc(oc1C)[C@H]1NC[C@@H](O)[C@H]1O	 300000
CC(C)NC(=O)c1cc(oc1C)[C@@H]1NC[C@@H](O)[C@H]1O	 40000
CCN(CC)C(=O)c1cc(oc1C)[C@H]1NC[C@@H](O)[C@H]1O	 85000
C[C@@H]1C[C@H](N)[C@@H](O)[C@H](O)[C@@H]1O	 25000
CCCCCCCCCNC1CC(C)C(O)C(O)C1O	 240
CCCCNC1CC(C)C(O)C(O)C1O	 920
CC1CC(NCc2ccccc2)C(O)C(O)C1O	 1000
C[C@@H]1NC[C@@H](O)[C@H](O)[C@@H]1O	 410
CC1NC(CO)(CNC(=O)CNC(=O)OCc2ccccc2)C(O)C(O)C1O	 40
CC1NC(CO)(CNC(=O)CN)C(O)C(O)C1O	 170
CC1NC(CN)(CO)C(O)C(O)C1O	 80
CC1NC(CO)(C#N)C(O)C(O)C1O	 122
OCC1NC(CO)[C@H](O)[C@H](O)[C@@H]1O	 30000
CCCCCCNC1CC(C)C(O)C(O)C1O	 8200.0
CCCCCCCCN[C@H]1CC(C)[C@@H](O)C(O)[C@@H]1O	 1800
CCCCCCCCNC1CC(C)C(O)C(O)C1O	 5500
CCCCCCCCCCNC1CC(C)C(O)C(O)C1O	 2700
CCCCCCCCCCN[C@H]1CC(C)[C@@H](O)C(O)[C@@H]1O	 700
CC1CC(NCCCCc2ccccc2)C(O)C(O)C1O	 5100
CCCCCCCCCCCCN[C@H]1CC(C)[C@@H](O)C(O)[C@@H]1O	 1200
CC1C[C@H](NCCCCc2ccccc2)[C@@H](O)C(O)[C@@H]1O	 1200
OC[C@@H]1NC[C@@H](O)[C@H](O)[C@@H]1O	 3500
CC1CNC[C@H](O)C1O	 26000
CCCCN1CC(C)C(O)C(O)C1	 270000
COC(=O)c1cc(oc1C)C1NCC(O)C1O	 100000
CCN(CC)C(=O)c1cc(oc1C)C1NCC(O)C1O	 220000
CCOC(=O)c1cc(oc1C)C1NCC(O)C1O	 300000
Cc1oc(cc1C(=O)Nc1ccccc1)C1NCC(O)C1O	 1000000
CCCCCCCNC1CC(C)C(O)C(O)C1O	 270
CCCCCCCCNC1CC(C)C(O)C(O)C1O	 110
CC1CC2N=C(NCc3ccccc3)OC2C(O)C1O	 72000
CCNC1CC(C)C(O)C(O)C1O	 21000
CC1CC2N=C(Nc3ccccc3)OC2C(O)C1O	 7600
CC1CC(NCCc2ccccc2)C(O)C(O)C1O	 240
CCCCNC1=NC2CC(C)C(O)C(O)C2O1	 140000
OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O	 26000
OCC1NC(CO)[C@@H](O)C(O)C1O	 38000
OC[C@@H]1NC[C@@H](O)[C@H](O)[C@@H]1O	 3500
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O	 221000
OC[C@@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O	 150000
OC[C@H]1NC[C@H](O)[C@H](O)[C@@H]1O	 194000
CC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	 83000
OC[C@@H]1C[C@H](O)[C@@H]2[C@H](O)[C@H](O)[C@@H](CO)N12	 17000
CCN(CC)C(=O)c1cc(oc1C)[C@H]1NC[C@@H](O)[C@H]1O	 220000
CC(C)NC(=O)c1cc(oc1C)[C@@H]1NC[C@@H](O)[C@H]1O	 80000
CCOC(=O)c1cc(oc1C)[C@H]1NC[C@@H](O)[C@H]1O	 200000
C[C@@H]1C[C@@H](N)[C@@H](O)[C@H](O)[C@@H]1O	 9300
C[C@@H]1CC(NCCc2ccccc2)[C@@H](O)[C@@H](O)[C@@H]1O	 7500
OC[C@H]1NCC[C@@H](O)[C@@H]1O	 140000
OC[C@H]1NCC[C@H](O)[C@@H]1O	 1000000
OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O	 30000
OC[C@H]1N[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O	 2600
C[C@@H]1N[C@H](CC(=O)Nc2c(F)cc(F)cc2F)[C@@H](O)[C@H](O)[C@@H]1O	 180
C[C@@H]1N[C@H](CC(=O)Nc2ccc(F)cc2F)[C@@H](O)[C@H](O)[C@@H]1O	 35
C[C@@H]1N[C@H](CC(=O)Nc2ccc(F)cc2)[C@@H](O)[C@H](O)[C@@H]1O	 14
C[C@@H]1N[C@H](CC(=O)Nc2cccc(F)c2)[C@@H](O)[C@H](O)[C@@H]1O	 31
C[C@@H]1N[C@H](CC(=O)Nc2ccccc2F)[C@@H](O)[C@H](O)[C@@H]1O	 7.9
C[C@@H]1N[C@H](CC(=O)Nc2c(C)cc(C)cc2C)[C@@H](O)[C@H](O)[C@@H]1O	 200
C[C@@H]1N[C@H](CC(=O)Nc2ccc(C)cc2C)[C@@H](O)[C@H](O)[C@@H]1O	 19
C[C@@H]1N[C@H](CC(=O)Nc2ccc(C)cc2)[C@@H](O)[C@H](O)[C@@H]1O	 15
C[C@@H]1N[C@H](CC(=O)Nc2cccc(C)c2)[C@@H](O)[C@H](O)[C@@H]1O	 30
C[C@@H]1N[C@H](CC(=O)Nc2ccccc2C)[C@@H](O)[C@H](O)[C@@H]1O	 58
CCCCNC(=O)C[C@H]1N[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O	 130
COc1ccc(NC(=O)C[C@H]2N[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)cc1	 26
C[C@@H]1N[C@H](CC(=O)NCc2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O	 190
C[C@@H]1N[C@H](CC(=O)Nc2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O	 30
C[C@@H]1N[C@H](CCCc2ccccc2)[C@@H](O)[C@H](O)[C@@H]1O	 86
CCCCCC[C@H]1N[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O	 890
