NC(N)=NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CCCN1)C(=O)CCl	 31
Fc1ccc(cc1)C(=O)n1cc(Cl)cn1	 6600
COC(=O)c1ccnn1C(=O)c1ccc(Cl)cc1	 11900
[O-][N+](=O)c1cccc(c1)C(=O)n1cc(Cl)cn1	 11300
O=C(Nc1ccccc1)c1ccn(n1)C(=O)c1ccccc1	 12300
Cc1ccc(cc1)C(=O)n1cc(Br)cn1	 6200
Clc1ccc(cc1Cl)C(=O)n1cccn1	 5700
Cc1cc(nn1C(=O)c1ccccc1F)[N+]([O-])=O	 4400
COc1cc(cc(OC)c1OC)C(=O)n1ccc(C)n1	 42200  
Cc1ccc(cc1)C(=O)n1ccc(n1)[N+]([O-])=O	 6100
[O-][N+](=O)c1ccn(n1)C(=O)c1ccccc1	 18800
CCOc1ccc(CC(=O)CNN([C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)C(=O)CC)cc1	 89
CCOc1ccc(C[C@@H](NS(C)(=O)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1	 820
CCOc1ccc(C[C@@H](NC(=O)c2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1	 22
NCc1ccc(CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC2CCCCC2)NCC(O)=O)cc1	 230
CCOc1ccc(C[C@@H](N)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1	 460
CCOc1ccc(C[C@@H](N)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)c(F)c2)cc1	 1000
CCOc1ccc(CC(=O)CNN([C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)c(F)c2)C(=O)CC)cc1	 74
NCc1ccc(CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](N)CC2CCCCC2)cc1	 740
CN(C)[C@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccc(CN)cc1	 2000
CCC(=O)N[C@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccc(CN)cc1	 7200
CS(=O)(=O)N[C@H](CC1CCCCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccc(CN)cc1	 1700
CCOc1ccc(CC(=O)CNN([C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2Cl)C(=O)CC)cc1	 290
CCOc1ccc(C[C@@H](N(C)C)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1	 10000
CCOc1ccc(C[C@@H](N)C(=O)N[C@@H](Cc2ccc(Cl)c(Cl)c2)C(=O)NCc2ccc(CN)cc2)cc1	 400
CCOc1ccc(C[C@@H](NS(=O)(=O)c2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1	 470
CCOc1ccc(CC(=O)CNN([C@@H](Cc2ccc(Cl)c(Cl)c2)C(=O)NCc2ccc(CN)cc2)C(=O)CC)cc1	 53
CCOc1ccc(C[C@@H](NCC(O)=O)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCc2ccc(CN)cc2)cc1	 5800
NCc1ccc(CNC(=O)[C@H](Cc2ccc(Cl)c(Cl)c2)NC(=O)[C@H](N)Cc2ccc(cc2)C(F)(F)F)cc1	 8800
CC(=O)CN([C@@H](Cc1ccc(Cl)c(Cl)c1)C(=O)NCc1ccc(CN)cc1)[C@H](CC(N)=O)c1ccc(cc1)C(F)(F)F	 10000
