COC(=[OH+])C1=C(C)[N-]c2ccccc2SC1c1cccc(c1)[N+]([O-])=O	 140
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC	 1000
CC1=NC(C)=C(C#N)C(C1C#N)c1cccc(F)c1F	 1610
CCOC(=O)C1C(C(C(=O)OCC)=C(C)N=C1C)c1ccccc1SC	 8
COC(=O)C1C(C(C(=O)OC)=C(C)N=C1C)c1ccccc1SC	 8
COC(=O)C1C(C)=NC(C)=C(C(=O)OC)C1(C)c1ccccc1	 1470
CCOC(=O)C1C(C)=NC(C)=C(C(=O)OCC)C1(C)c1ccccc1	 630
CCOC(=O)C1=C(C)N=C(C)C(C1c1ccc2ccccc2c1)C(C)=O	 2217
CCOC(=O)C1C(C(C(=O)OCC=C)=C(C)N=C1C)c1ccc2ccccc2c1	 1306
COC(=O)C1[C@@H](C(C(=O)OCCC#N)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O	 143
CCOC(=O)C1[C@@H](C(C(=O)OCCC#N)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O	 51
COC(=O)C1[C@H](C(C(=O)OCCC#N)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O	 262
CCOC(=O)C1[C@H](C(C(=O)OCCC#N)=C(C)N=C1C)c1cccc(c1)[N+]([O-])=O	 50
CCCC1=C(C(C(C(=O)OCC)C(C)=N1)c1cccc(c1)[N+]([O-])=O)C(=O)OCC	 18
CCCCC1=C(C(C(C(=O)OCC)C(C)=N1)c1cccc(c1)[N+]([O-])=O)C(=O)OCC	 20
CCOC(=O)C1C(C(C(=O)OC)=C(COC)N=C1C)c1cccc(c1)[N+]([O-])=O	 14
CCOC(=O)C1C(C(C(=O)OC)=C(COC)N=C1C)c1ccccc1[N+]([O-])=O	 1760
COCC1=C(C(C(C(=O)OC)C(C)=N1)c1cccc(c1)[N+]([O-])=O)C(=O)OC	 115
CCOC(=O)C1C(C(C(=O)OCC)=C(CCl)N=C1C)c1cccc(c1)[N+]([O-])=O	 10
CCOC(=O)C1C(C)N=C(C=O)C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCC	 49
CCOC(=O)C1C(C(C(=O)OCC)=C(COC(C)=O)N=C1C)c1cccc(c1)[N+]([O-])=O	 10
