OCC(O)C(O)C(O)COP(O)(O)=O	 700000
O[C@@H](COP(O)(O)=O)[C@H](O)[C@H](O)C(O)=O	 530000
OCC(O)C(F)C(O)COP(O)(O)=O	 100000000
ONCC(O)C(O)C(=O)COP(O)(O)=O	 8700000
OCC(O)C(O)C(O)COP(O)(O)=O	 20000000
OC1CC(COP(O)(O)=O)OC1O	 66700000
CS(=O)(=O)OC[C@H]1OC(=O)[C@H](O)[C@@H]1O	 8400000
CC(=O)CC(=O)OC[C@H]1OC(=O)[C@H](O)[C@@H]1O	 26900000
O[C@@H](COP(O)(O)=O)[C@H](O)[C@H](O)C(O)=O	 530000
COC1OC(COP(O)(O)=O)C(F)C1O	 91300000
O[C@H]1[C@@H](O)C(=O)O[C@@H]1COS([O-])(=O)=O	 35900000
OC1OC(COP(O)(O)=O)C(F)C1O	 61300000
O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O	 80000000
Nc1ccc(cc1)S(=O)(=O)OC[C@H]1OC(=O)[C@H](O)[C@@H]1O	 8400000
OCC(O)C(O)C(O)CCP(O)(O)=O	 86700000
OCC(F)C(O)C(O)COP(O)(O)=O	 5300000
OCC(O)C(OCc1ccccc1)C(O)COP(O)(O)=O	 233300000
OC(COP(O)(O)=O)C(F)C(O)C(O)=O	 62000000
NS(=O)(=O)OC[C@H]1O[C@H](O)[C@@H](O)[C@@H]1O	 19200000
OC(COP(O)(O)=O)C(O)C(F)C(O)=O	 4700000
O[C@H](COP(O)(O)=O)[C@@H](O)C([O-])=O	 220000
O[C@H]1O[C@H](COC(=O)NS([O-])(=O)=O)[C@@H](O)[C@@H]1O	 19200000
