CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)C1(C)C	 1400
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCCCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C	 1700
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C	 374
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C	 36
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C	 8300
CN(C)C1=N[C@@H]2[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]4NC(C)=O)[C@@H](O)[C@H]3NC(C)=O)[C@@H](CO)[C@@H]2O1	 90
CNC(=O)NC(=N)NCCN=[N+]=[N-]	 7000
CC[C@H]1OC(=O)[C@H](C)[C@@H](OCc2cn(CCNC(=N)NC(=O)NC)nn2)[C@H](C)[C@@H](O)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C	 3300
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCCNC(=N)NC(=O)NC)[C@H](C)[C@@H](OCC#C)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C	 217
CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](OCc2cn(CCNC(=N)NC(=O)NC)nn2)[C@](C)(O)C[C@@H](C)[C@@H]2OC(C)(C)O[C@H]([C@H]2C)C1(C)C	 11900
