CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(OC)cc2)NCCOc2ccccc2CCCNC1=O)C(C)C	 8
CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc2ccccc2\C=C\CNC1=O)C(C)C	 137
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(Cl)cc2)NCCOc2ccccc2CCCNC(=O)[C@H](CN(C)C)NC1=O	 16
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN(C)C)NC1=O	 27
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc2ccccc2\C=C\CNC(=O)[C@H](CCCN)NC1=O	 889
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(c2)C(F)(F)F)NCCOc2ccccc2CCCNC(=O)[C@H](CNc2ncccn2)NC1=O	 20
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](Cn2ccnc2)NC1=O	 62
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(c2)C(F)(F)F)NCCOc2ccccc2CCCNC(=O)[C@H](Cn2nncc2C)NC1=O	 17
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(F)c2)NCCOc2ccccc2CCCNC(=O)[C@H](Cc2cscn2)NC1=O	 116
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN=C2NCCN2)NC1=O	 51
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc2ccccc2CCCNC(=O)[C@H](CN)NC1=O	 171
CC(C)NC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc2ccccc2CCCNC1=O)C(C)C	 376
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](Cn2cccn2)NC1=O	 18
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(c2)C(F)(F)F)NCCOc2ccccc2CCCNC(=O)[C@H](Cn2nnc(C)c2C)NC1=O	 23
CNC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccc(Cl)cc2)NCCOc2ccccc2CCCNC1=O)C(C)C	 31
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc2ccccc2\C=C\CNC(=O)[C@H](CC(O)=O)NC1=O	 2553
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN=C(N)NC#N)NC1=O	 100
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc2ccccc2CCCNC(=O)[C@H](CCN)NC1=O	 342
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN=C(N)N)NC1=O	 57
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(Cl)cc2)NCCOc2ccccc2CCCNC(=O)[C@H](CN=C(N)N)NC1=O	 6
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CCN=C(N)N)NC1=O	 33
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(c2)C(F)(F)F)NCCOc2ccccc2CCCNC(=O)[C@H](CN2CCCC2)NC1=O	 4.6
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(c2)C(F)(F)F)NCCOc2ccccc2CCCNC(=O)[C@H](CN=C(N)N)NC1=O	 6
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(Cl)cc2)NCCOc2ccccc2CCCNC(=O)[C@H](CNC(N)=O)NC1=O	 543
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(c2)C(F)(F)F)NCCOc2ccccc2CCCNC(=O)[C@H](CN)NC1=O	 15
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CNc2nccs2)NC1=O	 41
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN)NC1=O	 64
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CCC(N)=N)NC1=O	 27
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(Cl)c2)NCCOc2ccccc2CCCNC(=O)[C@H](CN=C2NCCCN2)NC1=O	 87
CNC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2cccc(c2)C(F)(F)F)NCCOc2ccccc2CCCNC1=O)C(C)C	 6
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc2ccccc2\C=C\CNC(=O)[C@H](CCCCN)NC1=O	 664
CC(C)[C@H]1NC(=O)[C@@H](Cc2cccc(c2)C(F)(F)F)NCCOc2ccccc2CCCNC(=O)[C@H](Cn2nnnc2C)NC1=O	 21
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(Cl)cc2)NCCOc2ccccc2CCCNC(=O)[C@H](CN)NC1=O	 60
CC(C)[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NCCOc2ccccc2CCCNC(=O)[C@H](CNC(C)=O)NC1=O	 1946
NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CCc1ccccc1)NC(=O)C1CCC2(CCNCC2)n2n1c(=O)n(Cc1ccc3OCOc3c1)c2=O	 0.7
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	 37000
NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CCc1ccccc1)NC(=O)C1C=CC2(CCNCC2)n2n1c(=O)n(Cc1ccc3OCOc3c1)c2=O	 2
NC(=O)[C@@H](CCc1ccccc1)NC(=O)[C@@H](CCc1ccccc1)NC(=O)C1CCC2(CCNCC2)n2n1c(=O)n(Cc1ccc3OCOc3c1)c2=O	 2.7
NC(=O)C(CCc1ccccc1)NC(=O)C(CCc1ccccc1)NC(=O)C1CCC2(CCNCC2)n2n1c(=O)n(Cc1ccc3OCOc3c1)c2=O	 1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@](C)(C[C@@H](C)O2)OC)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)CC)[C@@]2(C)CC(C)=C(O2)[C@H](C)[C@@H](O)[C@H]1C	 3.4
CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NCCOc2ccccc2CCCNC1=O)C(C)C	 255
CCC[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2)NCCOc2ccccc2CCCNC1=O)C(C)C	 57
