In vitro inhibition of tumor cell growth of KM20L2, colon cancer cell line
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CNC5=CC=CC=C54,100000
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CS4,14454.4
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CO4,21379.6
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CN4,19952.6
COC1=CC(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,42657.9
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,100000
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=C(C=C3)O,407.38
COC1=C(C=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,23988.3
CC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,1412.54
COC1=CC(=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC,707.95
COC1=CC2=C(C=C1)NC(=CC2=O)C3=CC=CC=N3,35481.3
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=CC=C3F,100000
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,100000
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,229.09
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=C(C=C4)OC5=CC=CC=C5,100000
COC1=CC(=C(C=C1)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,6918.31
COC1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=C(C=C3)F,100000
COC1=CC=C(C=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)OC,100000
COC1=CC2=C(C=C1)C3=C(CC2)C(=O)C4=CC5=C(C=C4N3)OCO5,100000
C1CC2=C(C3=CC=CC=C31)NC4=CC5=C(C=C4C2=O)OCO5,100000
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC(=C(C=C3N2)OC)OC,1995.26
C1=CC=NC(=C1)C2=CC(=O)C3=C(N2)C=CC(=C3)Cl,39810.7
CN(C)C1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,34673.7
C1OC2=C(O1)C=C3C(=C2)C(=O)C=C(N3)C4=CC=CC=C4,181.97
COC1=CC=CC(=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,181.97
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=CC=CC(=C1)C2=CC(=O)C3=CC=CC=C3N2,8511.38
CN(C)C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3N2,100000
COC1=C(C(=C(C=C1)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4)OC)OC,100000
COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=CC4=C(C=C3N2)OCO4,100000
C1OC2=C(O1)C=C(C=C2)C3=CC(=O)C4=CC5=C(C=C4N3)OCO5,26302.7
