Inhibition of human recombinant BBOX expressed in Saccharomyces cerevisiae AH22 assessed as formation of carnitine from gamma-butyrobetaine preincubated for 15 mins measured after 30 mins by UPLC-MS/MS analysis
CC[N+](C)(C)CCCS(=O)(=O)[O-],6700
C[N+](C)(C)NCCC(=O)[O-],62000
CC[N+](C)(C)CCCC(=O)[O-],3300
CC[N+](C)(CC)CCCC(=O)[O-],100000
C[N+](C)(CCCC(=O)[O-])CCO,1e+06
CCCC[N+](C)(C)CCCC(=O)[O-],1e+06
C[N+](C)(CCCC(=O)[O-])CC1=CC=CC=C1,1e+06
C[N+](C)(CCCC(=O)[O-])C1CC1,2100
C[N+](C)(CCCC(=O)[O-])C1CCC1,810
C[N+](C)(CCCC(=O)[O-])C1CCCC1,1e+06
C[N+](C)(CCCC(=O)[O-])CC1CC1,1e+06
C[N+](C)(CCCC(=O)[O-])CC1CCC1,1e+06
C[N+](C)(CCCC(=O)O)CCF.[Cl-],610
C1CCN(C1)CCCC(=O)O.Cl,1e+06
C[N+]1(CCCC1)CCCC(=O)O.[Cl-],490
CCC[N+](C)(C)CCCC(=O)[O-],1e+06
C[N+](C)(CCCC(=O)[O-])CC=C,2700
CC(C)[N+](C)(C)CCCC(=O)[O-],5700
C[N+](C)(CCCC(=O)[O-])CC#C,1400
C[N+](C)(CCCC(=O)[O-])CCl,268000
C[N+](C)(CCCC(=O)[O-])CBr,1e+06
C[N+](C)(CCCC(=O)[O-])CI,1e+06
C[N+](C)(CCCC(=O)[O-])COC,1e+06
C[N+](C)(CCCC(=O)[O-])C=C,127000
C[N+](C)(CCCC(=O)O)CCCl.[Cl-],260
C[N+](C)(CCCC(=O)O)CCBr.[Cl-],1200
C[N+](C)(C)C1CCCC(C1)C(=O)[O-],1e+06
CC(CCC(=O)[O-])[N+](C)(C)C,343000
C[N+](C)(C)CC(CC(=O)O)Cl.[Cl-],459000
C[N+](C)(C)CC=CC(=O)[O-],3800
C[N+](C)(C)CCCS(=O)(=O)[O-],1700
C[N+](C)(C)CCCP(=O)(O)O.[Cl-],100
C[N+](C)(C)CCCP(=O)=O,520
CC[N+](C)(C)CCC[P+](=O)[O-],530
C[N+](C)(C)CCCC1=NNN=N1.[Cl-],1e+06
C[N+](C)(C)CCCCC(=O)[O-],1e+06
C[S+](C)CCCC(=O)[O-].C(=CC(=O)O)C(=O)O,388000
CC[N+](C)(C)NCCC(=O)[O-],140000
C[N+](C)(CC=C)NCCC(=O)[O-],119000
CC(C)[N+](C)(C)NCCC(=O)[O-],1e+06
C[N+](C)(CCO)NCCC(=O)[O-],1e+06
C[N+](C)(C=C)NCCC(=O)[O-],6800
C[N+](C)(CCCl)NCCC(=O)O.[Br-],10200
C[N+](C)(CC#C)NCCC(=O)O.[Br-],24000
CN(CCC(=O)[O-])[N+](C)(C)C,90
CC[N+](C)(C)N(C)CCC(=O)[O-],7200
CCC[N+](C)(C)N(C)CCC(=O)[O-],3100
CCN(CCC(=O)[O-])[N+](C)(C)C,2800
CC[N+](C)(CC)NCCC(=O)O.[Cl-],1e+06
C[N+](C)(CCN)NCCC(=O)[O-],1e+06
C[N+](C)(C)NCCS(=O)(=O)[O-],87000
C[N+](C)(C)NCCP(=O)(O)O.[I-],117000
