Prostaglandin D2 receptor antagonist activity, evaluated by inhibition of [3H]PGD-2 binding to human platelet membranes
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)OC)CC=CCCCC(=O)O)C,7.15
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CC=C3OC)CC=CCCCC(=O)O)C,7.06
CC1(C2CC(C(C1C2)NC(=O)C3=CC4=C(C=C3)OCO4)CC=CCCCC(=O)O)C,6.69
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CS3)CC=CCCCC(=O)O)C,5.79
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3)CC=CCCCC(=O)NS(=O)(=O)C)C,4.05
CC1(C2CC(C(C1C2)NC(=O)C3=CN=CC=C3)CC=CCCCC(=O)O)C,8.17
CC1(C2CC(C(C1C2)NC(=O)C3=CN(C=C3)C)CC=CCCCC(=O)O)C,8.94
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)O)CC=CCCCC(=O)O)C,6.31
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)[N+](=O)[O-])CC=CCCCC(=O)O)C,4.77
CC1=CC(=CS1)C(=O)NC2C(CC3CC2C3(C)C)CC=CCCCC(=O)O,8.33
CC1(C2CC(C(C1C2)NC(=O)C3=CSC(=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,7.79
CC1(C2CC(C(C1C2)NS(=O)(=O)C3=CC=C(C=C3)N=NC4=CC=CC=C4)CC=CCCCC(=O)O)C,5.05
CC1(C2CC(C(C1C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,6.45
CC1(C2CC(C(C1C2)NC(=O)CC3=COC=C3)CC=CCCCC(=O)O)C,7.86
CC1(C2CC(C(C1C2)NS(=O)(=O)C3=CC4=C(C=C3)OC5=CC=CC=C54)CC=CCCCC(=O)O)C,5.82
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=C(C=C4)NS(=O)(=O)C)CC=CCCCC(=O)O)C,3.44
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=CC(=C4)O)CC=CCCCC(=O)O)C,7.54
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=C(C=C4)O)CC=CCCCC(=O)O)C,7.59
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3)CC=CCCCC(=O)O)C,6.12
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CC=C3)CC=CCCCC(=O)O)C,7.96
CC1(C2CC1C(C(C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,8.2
CC1(C2CC(C(C1C2)NC(=O)C3=CSC=C3OC)CC=CCCCC(=O)O)C,5.15
CC1=C(C=CS1)C(=O)NC2C(CC3CC2C3(C)C)CC=CCCCC(=O)O,7.13
CC1(C2CC1C(C(C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,6.41
CC1(C2CC1C(C(C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,7.97
CC1(C2CC1C(C(C2)NS(=O)(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,6.41
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)N=NC4=CC=CC=C4)CC=CCCCC(=O)O)C,6.88
CC1(C2CC(C(C1C2)NC(=O)C3=CC=C(C=C3)C4=CC=CC=C4)CC=CCCCC(=O)O)C,11.04
CC1(C2CC(C(C1C2)NC(=O)C3=CNC4=CC=CC=C43)CC=CCCCC(=O)O)C,7.65
CC1(C2CC(C(C1C2)NC(=O)C3=CC=CC4=C3SC=C4)CC=CCCCC(=O)O)C,8.01
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3C=C(C=C4)F)CC=CCCCC(=O)O)C,9.91
CC1(C2CC(C(C1C2)NC(=O)C3=CC4=CC=CC=C4O3)CC=CCCCC(=O)O)C,7.75
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=CC=CC=C43)CC=CCCCC(=O)O)C,7.92
CC1(C2CC(C(C1C2)NC(=O)C3=CC4=CC=CC=C4S3)CC=CCCCC(=O)O)C,8.16
CC1(C2CC(C(C1C2)NC(=O)C3=CSC4=C3CCCC4)CC=CCCCC(=O)O)C,7.21
CC1=C(C(=CS1)C(=O)NC2C(CC3CC2C3(C)C)CC=CCCCC(=O)O)C4=CC=CC=C4,6.58
CC1(C2CC(C(C1C2)NC(=O)C3=CSC(=C3)OC)CC=CCCCC(=O)O)C,6.05
