n_harmonics,base_freq,magnitudes,instruments
8,2.954496925526323,"[ 0.03431447 -1.9361581  -0.67322141 -0.38141785 -0.68664757  2.46668389
  1.79319366 -1.09322058]","[<ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>
 <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>]"
x,y
-2.9904438992486764,1.7089167041569788
-2.9784834877637767,1.3707377150491828
-2.970721451695386,1.1686862717768125
-2.961531096525048,0.8415265082457799
-2.9555429175520196,0.68197044888454
-2.951614111891053,0.586213509383255
-2.945469616996675,0.38871568713731197
-2.9383179921140767,0.28165097749791357
-2.934053513877429,0.1933283180004729
-2.932498132447864,0.1151212958968838
-2.928050148364451,0.0956441472473425
-2.927881163840576,0.07911144530967654
-2.923137182850974,0.026200911210755386
-2.922847234250268,0.008490989918712312
-2.921892644571307,-0.015859606364757525
-2.908993136957812,-0.024960392882072756
-2.902121949798479,-0.027994678456393318
-2.89877165616646,0.04945565970335515
-2.8949029415496628,0.10377352204663752
-2.8878132292086396,0.18578035463948953
-2.873740916628658,0.5603353643869468
-2.8736762282329407,0.5809480420833691
-2.868466538974264,0.7659337590783444
-2.8629484246853645,0.9812845004789458
-2.8626318450181483,0.9618699653774432
-2.8536094712330025,1.3760421786293213
-2.851881337027046,1.4394625646699164
-2.843827229993896,1.807963628058642
-2.8368827945612747,2.136685542264306
-2.83468954436075,2.2361237154596867
-2.826230385642739,2.6482851310492
-2.8157024415845378,3.055819447826796
-2.811486337324116,3.251141376876079
-2.8114588595170753,3.287618975626662
-2.7981996496472727,3.759137648376251
-2.7949647100162207,3.8672796131399623
-2.7915891687556886,3.9425317104765916
-2.7868093318049536,4.099298521210266
-2.7847827089372235,4.091237357671188
-2.7705458049964493,4.32883691604165
-2.758169923469206,4.281085084481237
-2.757361613911183,4.275871845341168
-2.7513195554297716,4.198479367140157
-2.7475100463782587,4.100181011770551
-2.7400283696727774,3.8891423576313517
-2.7382942440042344,3.831571938485347
-2.7308883793450027,3.612559353111321
-2.7308302278154564,3.569045305001572
-2.7264726628827587,3.386277548007997
-2.724143641028024,3.2824962748883246
-2.7231371006368015,3.208403372968297
-2.7178854957863514,3.018311748598994
-2.715254459006836,2.8348592204172576
-2.696746407072224,1.6735203663182
-2.684899174792407,0.9326545803688008
-2.6828391531834166,0.7275641066376873
-2.6815862897547236,0.7132413277122805
-2.6725714318520604,0.05177635847924676
-2.672023653389923,0.053882430975030746
-2.6704962020870155,-0.11560442260513103
-2.6559548573870604,-1.051473006125542
-2.653393137580739,-1.1793900199823018
-2.6522887769686685,-1.228747724134729
-2.6510375185956327,-1.332408792037502
-2.639823564224398,-1.9337133125877741
-2.6368800963342407,-2.1234933468831945
-2.632568227496372,-2.3132112418852127
-2.6269309975129884,-2.562910702882551
-2.6105723491820187,-3.1015947173840446
-2.6086054945942867,-3.1747164245477664
-2.6056445834213644,-3.221537705109429
-2.6044439670732977,-3.243338874245533
-2.6003945285868157,-3.3251987406556807
-2.592424532304381,-3.3575617539905305
-2.5912668950102042,-3.3740648381671883
-2.590079454624862,-3.420732228130539
-2.5872826443073427,-3.4570445221401322
-2.587213033703062,-3.450253797884799
-2.584784518860903,-3.4383609644464217
-2.577617189567503,-3.4238063578975035
-2.5727712266481806,-3.372374606189285
-2.5605209251236936,-3.2315231697185025
-2.55845774223022,-3.2267104345399846
-2.5550174660596476,-3.153049060434524
-2.538583309128996,-2.7855232275276456
-2.5252823486304257,-2.41780384173047
-2.522021832105993,-2.3682131488260474
-2.5212484097731296,-2.348609807006965
-2.517020181715713,-2.2379283443525035
-2.499304413859094,-1.911196942885772
-2.4950349849110838,-1.8508663806516024
-2.4895967842949798,-1.7663889468251994
-2.488922622714127,-1.7744914249396255
-2.488696970465348,-1.7347698592962162
-2.4861315052756066,-1.7574285527531166
-2.4857925463680086,-1.7133765464075938
-2.483588977346924,-1.692240535863992
-2.4742168952614714,-1.6624141371969026
-2.4692060197427237,-1.6718980719571785
-2.4650714669613327,-1.662719585429152
-2.4606849021725132,-1.6658848095552816
-2.4412843732137715,-1.8520858372170435
-2.4304841112347906,-2.0116587490256106
-2.429020696544056,-2.0604840886533555
-2.4209910068709544,-2.2280396283171227
-2.415940191951532,-2.3056296971375985
-2.405619162503502,-2.547253864701007
-2.4051172429360834,-2.546461166076876
-2.4042878164936567,-2.5843045852974806
-2.3867463821207937,-2.921212691281541
-2.383817106582769,-2.9438708646801377
-2.3782027374856742,-3.031093718440563
-2.3759484702724256,-3.0831015017521937
-2.375178764693973,-3.0481353241896003
-2.363725836532571,-3.180541387841207
-2.3573074088787305,-3.2197752164569664
-2.3527975055935517,-3.20784792168084
-2.3496686458878764,-3.22985387810021
-2.3476571692964336,-3.195332606925678
-2.3458518990592983,-3.182441658224706
-2.3388684446777948,-3.1396037291863492
-2.314622521487607,-2.705559440341987
-2.3105798055932647,-2.6146063450760137
-2.3092835476817823,-2.5751301042967913
-2.308347808663812,-2.5360396827987226
-2.301689558049272,-2.2898793340070123
-2.301469196413662,-2.2862239051709508
-2.2988089138170436,-2.206901685152008
-2.2882930578037843,-1.8199262034988903
-2.2876554829459996,-1.7450621305481733
-2.278117060708434,-1.3850388785025642
-2.2778096875835843,-1.3890730206189266
-2.27601415658057,-1.2730090396561686
-2.27540860456729,-1.2892105511792145
-2.2751247668065826,-1.2694280091822105
-2.2745989664678445,-1.2474569682246606
-2.2743973731964697,-1.2084918461273633
-2.269229699831694,-1.023078983916657
-2.266472604148759,-0.8786390296840172
-2.2626269880655734,-0.7377710251044082
-2.2535627552053743,-0.3470386721461028
-2.2494596248325847,-0.14018128264773289
-2.246383715556099,-0.023194460527750895
-2.2384561374694325,0.31291880357459817
-2.23037618382977,0.5920832444648929
-2.229811936491248,0.6309770362054358
-2.227078064638766,0.742949255308148
-2.2223476776167033,0.8786747239862732
-2.218713754510712,0.9805298788612753
-2.2114663791099565,1.1813993647814216
-2.20312053176171,1.3915096410025258
-2.194585307122755,1.5742651763171267
-2.1921088309656733,1.6161904402305642
-2.1867752244306415,1.6883746069286534
-2.179224511141307,1.7377048666323514
-2.170089658431553,1.7608641128578406
-2.1645806051704986,1.711918735588428
-2.163435867281858,1.7424981456055548
-2.139189575046962,1.4604842702724783
-2.1358359856734275,1.4536420523300828
-2.130680902620801,1.3190408000970693
-2.12802841512306,1.283399678508834
-2.1248846947204703,1.2089377216204742
-2.1222300558336062,1.0999968526316746
-2.1214763796431626,1.0925324601962336
-2.1191608807494102,1.0758507573355363
-2.1174612803040933,1.0077272117752758
-2.115541427729233,0.9783589650577563
-2.0975994917527565,0.4972970816353758
-2.0970713371858123,0.49886163698235464
-2.088721995360264,0.27085530958943055
-2.085383822429772,0.15046746042453124
-2.0835310768176685,0.09421145671990411
-2.0760664244948464,-0.127150994687423
-2.071474260134617,-0.23719519091109145
-2.066113783377431,-0.3720704361105783
-2.061324981442905,-0.4885380970082656
-2.0586624283236143,-0.5914861809323585
-2.0518507632473075,-0.7442543218092281
-2.0480390176094136,-0.7815540883839259
-2.046984127822194,-0.83541363541728
-2.036641549239824,-1.0332517326101338
-2.0280283008799636,-1.2075138188622854
-2.0130219716295947,-1.4533967868526212
-2.0045746730287277,-1.5538619242053204
-1.9912654716614169,-1.6796775036581637
-1.9877946444382062,-1.6847535471425055
-1.9656320882097267,-1.7140430577818513
-1.9648746372901884,-1.7231742688690446
-1.9588199915309028,-1.656784899554283
-1.9580437595592584,-1.7026845271629814
-1.9563959366584698,-1.7204173485036038
-1.9488334903974251,-1.6148265466769163
-1.9475958845570516,-1.6251373093243016
-1.9291220978529322,-1.4667990684745482
-1.9206214576438374,-1.282245683856876
-1.919322752457763,-1.236950542134558
-1.9114871201519659,-1.1040218118133232
-1.905626592666714,-0.9616249344481564
-1.9030427346176082,-0.8701442902571256
-1.9014124996427106,-0.8412114290996481
-1.8920613700285231,-0.6374335164313016
-1.8868529025589482,-0.4428869862714781
-1.8811068874724957,-0.30408927241068684
-1.8691458571804622,0.08513659644299038
-1.8581571273952175,0.49493841171590974
-1.8561490981481246,0.5506383158745268
-1.8548371678676479,0.5830370568312073
-1.8510582742812804,0.7637726450151507
-1.848683404049108,0.8110814677082032
-1.8450161698717822,0.9349454632149821
-1.8413158162040615,1.076267764070035
-1.841014496991926,1.0730804055439114
-1.782260823908157,2.6242111729421964
-1.767563572772927,2.6838401182633174
-1.7666700289359094,2.660534593167704
-1.7578122838804804,2.6328926564987145
-1.7569511189459293,2.604057548446805
-1.754660610278245,2.6278137877801995
-1.7458148016602444,2.4101256683789964
-1.744620645410467,2.4053720261353173
-1.737690916278602,2.2451017079536544
-1.7183714822007952,1.572122328419082
-1.6915259305638823,0.13037830295306882
-1.6840237016590878,-0.30705788006714635
-1.6796681274763832,-0.5520984651954834
-1.6685551350110468,-1.1971142746958936
-1.6498329761606936,-2.3124487412234265
-1.6434718084966617,-2.6724353097880136
-1.6431152159915237,-2.692319657944131
-1.6366901029206955,-2.988624276594597
-1.628311492235683,-3.4108719588472676
-1.6274335205978034,-3.419981720595492
-1.6028210577089625,-4.069305454994138
-1.5949913308518342,-4.165736746578584
-1.5889841748261895,-4.167796800832806
-1.5878053134214758,-4.161335870163993
-1.5847555699268414,-4.14062313134035
-1.5759932593929291,-4.039631774230637
-1.5699559243454115,-3.902622378379848
-1.5693614661766622,-3.8880529419751495
-1.5632954185973484,-3.7570380780886152
-1.5611711811626001,-3.6848763589203006
-1.5594068638308458,-3.586230743514863
-1.5581645200126502,-3.574436087329152
-1.557517727728714,-3.524457261623026
-1.545025788271438,-3.0451610228870396
-1.5370509930624505,-2.643623776413235
-1.5349100893321745,-2.539673692627195
-1.5282394299473088,-2.1391630419613348
-1.5271017909012057,-2.0983299131912485
-1.522615606560762,-1.8728023524560775
-1.5221448408447928,-1.8116917087837985
-1.5183116097443872,-1.5991679250143747
-1.5165831495584234,-1.4751554300301126
-1.514645664293662,-1.4220038582796934
-1.5131386224617327,-1.2484978721163773
-1.5104147742134195,-1.1164583920818014
-1.510136277216884,-1.1133705735613846
-1.5094221597430522,-1.079512712329701
-1.5075506608146898,-0.9249483911000521
-1.5050239766472824,-0.842289609666897
-1.5028374273085354,-0.6842925435325422
-1.5003125057504718,-0.5857860036320688
-1.4817823151224796,0.5169153863552839
-1.4709406796106832,1.0176417925865446
-1.469666558295653,1.0817727086078777
-1.4565526066805305,1.5635930891981904
-1.4557712609098405,1.5774257872780368
-1.4485994456790119,1.7914567800181982
-1.4310957781127025,2.12852271911716
-1.4215388929361383,2.177746176468873
-1.4049883784224715,2.089268830077339
-1.3884768550773925,1.8443564929012646
-1.3758559347898656,1.5551222618988039
-1.3663202020438192,1.2921805746711448
-1.3599360564456513,1.143269320000161
-1.3593793084273482,1.138544621081773
-1.3513182450434724,0.8964631826708538
-1.3482678387757723,0.8914849683099525
-1.3408799139534036,0.7270825578629526
-1.3227494318887885,0.3422117977972383
-1.2732664788859631,0.42204213699284543
-1.2713286977302374,0.4618208224172531
-1.2658237201558993,0.49663946179733265
-1.2649960718736537,0.5311537883554447
-1.264039762427089,0.5296968008438923
-1.2502352558325336,0.7879116528797416
-1.2450872125211743,0.9165777583635922
-1.2389306413619139,1.0586094272055486
-1.2296206006540071,1.2548115803178916
-1.2247926996876404,1.3381643205721487
-1.2169842841444916,1.462595606512306
-1.2130117020379236,1.4872449117526672
-1.2128416467730572,1.5097008791749853
-1.2096144696449163,1.5446895337065234
-1.2088058742628955,1.5576747244917963
-1.179303049807372,1.7304756971521735
-1.1698240812432346,1.6648369698401708
-1.1638336775514686,1.5967532579771193
-1.1626184953923109,1.5605263665171778
-1.1579344674240553,1.503626709261891
-1.1557654701688236,1.477128484990648
-1.1551933211201948,1.4359471961768333
-1.1498218291423297,1.3513709408279846
-1.1494376787723881,1.3624147028091051
-1.1460356474807836,1.2570475508511758
-1.1306542873522163,0.8834283024722202
-1.1291146575510924,0.8711926593225716
-1.1217188560178262,0.6157046682046975
-1.1104159818944828,0.26343947672154006
-1.1103535229132457,0.334146217071675
-1.0879309007485853,-0.2753193408065736
-1.0843545683328562,-0.38061742546177907
-1.0761558119477175,-0.5169538753078168
-1.0652664062210773,-0.6845572699214614
-1.062663382471836,-0.7915594310583124
-1.055065659659374,-0.736674339318698
-1.0528731177472128,-0.8187777445936455
-1.0472466074122575,-0.765512359715979
-1.0452527887038376,-0.7756284568505012
-1.0426504737534792,-0.7647599330908675
-1.0403224383540914,-0.7719857366926012
-1.0332471336260776,-0.6718550298619688
-1.0250414959142091,-0.5625836343036645
-1.0249504318608231,-0.604405385189849
-1.0225401334493331,-0.5184345603355736
-1.0217164926566797,-0.532462844746787
-1.0191960882774551,-0.4771157233724696
-1.010070482807561,-0.20679337610059878
-1.0001656319600951,0.0324672775980266
-0.9991590864798479,0.07136750418289621
-0.9927907674502627,0.279721794581817
-0.9924256959742062,0.29141582160648116
-0.979558492033461,0.7664483179451456
-0.9477721815606448,1.7886572432997516
-0.9319512893454869,2.169816536480249
-0.9307217184275678,2.170544640398467
-0.9266784058743642,2.268545794875085
-0.9256881943591231,2.2572566526145215
-0.9155915659524014,2.4105900507903195
-0.9040832046047935,2.375663270135969
-0.8862254949605917,2.2251679243598748
-0.8830713751785355,2.139092479793469
-0.880959482287623,2.1398108582064785
-0.8798101544551766,2.0646286277844514
-0.8796324506838684,2.1020876109144777
-0.864611742568024,1.7317993937696252
-0.8626597470680881,1.712039695061039
-0.8563039113287116,1.4892449506638188
-0.8473003815972691,1.2090727198239697
-0.8472572370960272,1.2018589871037917
-0.838734666404021,0.9662006373741522
-0.8382678352626769,0.9834417433801637
-0.8350832658360368,0.8756356575036864
-0.8301046814981632,0.7008962346862465
-0.8207155976211582,0.4695092268172421
-0.8203370193946062,0.4413807731930109
-0.8178123142838762,0.3964788291496037
-0.8172831102371236,0.39628579697936633
-0.8160947870733404,0.34337750389345284
