n_harmonics,base_freq,magnitudes,instruments
10,1.1571396097560136,"[-0.13933754 -1.02789075  0.30639213 -0.2741924   0.47433979 -0.51866986
 -0.75595551  0.73476845 -0.04161315  0.23308737]","[<ufunc 'cos'> <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'sin'>
 <ufunc 'cos'> <ufunc 'sin'> <ufunc 'sin'> <ufunc 'cos'> <ufunc 'sin'>]"
x,y
-2.987529416389998,0.21501178625677803
-2.9869290106245687,0.2229754609154313
-2.984690780784033,0.22269413813371744
-2.976932900848903,0.1478823432289815
-2.9761516420775602,0.15212918693223934
-2.9673549600604203,0.12028432068243836
-2.9560339455235525,0.04103236518946734
-2.9473758187881516,-0.028612431556005846
-2.944522142065459,-0.046770706547673166
-2.9440573708995528,-0.06697862215863554
-2.943809495392217,-0.05426542146850822
-2.9437375493458973,-0.06579810475164556
-2.9412302243570476,-0.05271447354382669
-2.9391400428943006,-0.07579111998824996
-2.9290724166337267,-0.15788046935085487
-2.920858057177942,-0.20943963811775668
-2.9154234886271513,-0.23404275290756876
-2.912566116985033,-0.25996949014863296
-2.9095843881178647,-0.27616023668225104
-2.907576860537759,-0.30975532707939796
-2.906512271787103,-0.30434684685339675
-2.9020151746927656,-0.3480072601998615
-2.8952473891549984,-0.380543992506038
-2.8948544317479064,-0.37265123123921756
-2.8864154658304315,-0.4428914901878679
-2.8743835185257742,-0.5044657470926346
-2.8716506106462463,-0.5394036018147742
-2.8702783550681144,-0.5503681330462739
-2.8690173129796674,-0.5590665580498304
-2.866831756932795,-0.5763395088833686
-2.86641881173173,-0.5439331575112988
-2.8649280769084458,-0.5916583446331143
-2.862976657751795,-0.5932106604128189
-2.859646924890659,-0.6539748519528807
-2.8579205138478194,-0.6273716481115176
-2.8521312376486323,-0.6809430515702058
-2.849649376318532,-0.7044925407598729
-2.846063025729804,-0.7224249467110074
-2.8423275275956503,-0.7440646861849166
-2.8399089340716426,-0.7692890638987971
-2.8375127585786553,-0.7998400223418739
-2.836177654875083,-0.8023145875190187
-2.834272038335972,-0.8060329105872173
-2.809381251167145,-1.0212204000874638
-2.806822509355034,-1.019462984263268
-2.7849405449197593,-1.218196452524037
-2.778214158930876,-1.3012987621715488
-2.7779459682384706,-1.2965316314844577
-2.7736330028878173,-1.3440404442510876
-2.7723663438546144,-1.352949251863942
